	F_Day_0_Control_C	O_Day_0_Control_C	F_Day_7_Control_C	O_Day_7_Control_C	O_Day_3_Control_C	F_Day_3_Control_C
ASV_932	0	0	0	0	0	21
ASV_933	0	0	0	0	0	28
ASV_936	0	0	0	0	11	0
ASV_9383	0	0	0	0	0	1
ASV_943	0	0	0	370	21	0
ASV_9437	0	40	0	0	0	0
ASV_946	0	0	0	75	0	0
ASV_9478	0	0	4	0	0	0
ASV_95	44	0	0	449	0	327
ASV_955	0	0	0	0	69	0
ASV_9599	0	54	0	1432	0	0
ASV_9667	0	55	0	0	571	0
ASV_9668	0	35	0	2538	262	0
ASV_9669	0	52	0	1865	0	0
ASV_9672	0	35	0	776	0	0
ASV_9673	0	0	0	1703	0	0
ASV_9674	0	0	0	0	181	0
ASV_9676	0	41	0	2061	102	0
ASV_9677	0	0	0	1326	31	0
ASV_9678	0	148	0	813	51	0
ASV_9681	0	0	0	3177	0	0
ASV_9684	0	0	0	0	103	0
ASV_9686	0	11	0	0	0	0
ASV_9699	0	7	0	0	0	0
ASV_9702	0	37	0	0	0	0
ASV_9703	0	0	0	814	0	0
ASV_9706	0	26	0	0	0	0
ASV_9709	0	0	0	0	32	0
